Employee ID,Date,Leave Type,Weather,Time In,Time Out,Hours Worked,Overtime Hours,Workload
2006,2023-01-24,Vacation,Sunny,10:17:00,12:35:00,2.3,1.67,1
2006,2023-01-26,Personal,Snowy,01:39:00,01:21:00,0.0,1.58,1
2006,2023-02-02,Unpaid,Rainy,08:38:00,07:20:00,0.0,1.56,3
2006,2023-02-05,Personal,Snowy,05:00:00,13:54:00,8.89,0.1,4
2006,2023-03-01,Vacation,Cloudy,19:47:00,13:20:00,0.0,1.36,7
2006,2023-03-23,Sick,Sunny,13:09:00,02:59:00,0.0,1.84,1
2006,2023-04-03,Sick,Snowy,19:10:00,14:00:00,0.0,1.12,10
2006,2023-04-04,Vacation,Cloudy,20:28:00,02:28:00,0.0,1.78,7
2006,2023-04-23,Vacation,Snowy,19:29:00,18:39:00,0.0,0.31,5
2006,2023-04-24,Sick,Cloudy,21:14:00,21:57:00,0.71,1.95,3
2006,2023-06-22,Sick,Snowy,01:30:00,06:57:00,5.45,1.2,2
2006,2023-07-16,Unpaid,Rainy,02:03:00,23:05:00,21.03,1.53,8
2006,2023-08-06,Personal,Cloudy,18:40:00,04:07:00,0.0,0.25,2
2006,2023-09-10,Personal,Snowy,08:15:00,15:28:00,7.21,0.37,9
2006,2023-09-28,Vacation,Snowy,13:10:00,21:50:00,8.67,1.2,5
2006,2023-10-20,Personal,Cloudy,12:07:00,23:08:00,11.01,0.66,10
2006,2023-11-22,Vacation,Sunny,03:59:00,07:40:00,3.7,0.38,4
2006,2023-12-05,Vacation,Snowy,18:01:00,15:06:00,0.0,0.54,1
2007,2023-01-06,Sick,Sunny,14:58:00,06:32:00,0.0,1.26,8
2007,2023-02-17,Sick,Rainy,06:25:00,16:40:00,10.25,1.52,5
2007,2023-03-10,Unpaid,Snowy,22:55:00,13:55:00,0.0,0.87,4
2007,2023-03-14,Vacation,Rainy,07:32:00,13:08:00,5.6,1.93,5
2007,2023-04-08,Sick,Sunny,19:03:00,01:21:00,0.0,0.49,7
2007,2023-04-13,Personal,Snowy,01:49:00,20:33:00,18.74,0.61,4
2007,2023-04-25,Vacation,Snowy,20:13:00,11:06:00,0.0,0.28,4
2007,2023-05-03,Vacation,Rainy,06:39:00,02:27:00,0.0,1.92,5
2007,2023-05-07,Personal,Cloudy,03:46:00,01:11:00,0.0,0.71,6
2007,2023-06-24,Unpaid,Sunny,03:35:00,12:08:00,8.56,0.88,7
2007,2023-07-16,Unpaid,Rainy,12:04:00,18:24:00,6.33,1.78,4
2007,2023-07-20,Unpaid,Cloudy,18:43:00,02:27:00,0.0,0.37,1
2007,2023-08-26,Personal,Cloudy,11:01:00,08:29:00,0.0,0.07,9
2007,2023-09-22,Sick,Rainy,08:07:00,17:29:00,9.37,1.58,10
2007,2023-11-06,Personal,Cloudy,04:45:00,06:05:00,1.33,1.05,7
2007,2023-11-15,Personal,Snowy,12:30:00,23:12:00,10.7,1.39,6
2007,2023-11-27,Personal,Sunny,07:53:00,23:10:00,15.28,1.99,2
2007,2023-11-29,Personal,Rainy,09:35:00,07:31:00,0.0,1.11,4
2008,2023-01-03,Sick,Sunny,11:20:00,07:56:00,0.0,1.65,2
2008,2023-01-04,Vacation,Sunny,21:24:00,09:01:00,0.0,0.25,7
2008,2023-01-09,Personal,Cloudy,08:05:00,20:49:00,12.72,0.21,3
2008,2023-01-16,Sick,Snowy,05:16:00,15:48:00,10.53,0.04,6
2008,2023-02-07,Sick,Sunny,11:42:00,02:46:00,0.0,0.05,3
2008,2023-02-14,Unpaid,Snowy,08:09:00,22:22:00,14.22,0.04,6
2008,2023-02-19,Vacation,Snowy,20:53:00,23:06:00,2.22,0.71,10
2008,2023-02-27,Personal,Cloudy,13:05:00,02:33:00,0.0,0.87,10
2008,2023-03-11,Personal,Snowy,19:36:00,04:24:00,0.0,1.82,10
2008,2023-04-03,Sick,Sunny,13:16:00,06:35:00,0.0,0.66,9
2008,2023-04-04,Unpaid,Rainy,06:12:00,19:10:00,12.97,1.56,3
2008,2023-04-18,Vacation,Cloudy,21:40:00,07:29:00,0.0,0.63,8
2008,2023-05-07,Vacation,Rainy,06:01:00,17:30:00,11.49,1.79,3
2008,2023-05-09,Vacation,Cloudy,19:42:00,08:21:00,0.0,1.44,4
2008,2023-07-22,Unpaid,Snowy,06:23:00,10:19:00,3.93,1.61,8
2008,2023-08-15,Personal,Rainy,22:29:00,07:06:00,0.0,1.95,6
2008,2023-08-20,Unpaid,Snowy,22:18:00,07:34:00,0.0,1.37,7
2008,2023-08-27,Sick,Sunny,09:57:00,01:36:00,0.0,0.98,8
2008,2023-09-13,Personal,Rainy,03:23:00,16:47:00,13.41,1.79,5
2008,2023-09-17,Vacation,Rainy,23:48:00,15:52:00,0.0,1.41,8
2008,2023-11-10,Sick,Cloudy,13:43:00,01:17:00,0.0,1.31,7
2008,2023-11-14,Personal,Snowy,05:06:00,06:14:00,1.13,1.75,2
2008,2023-11-17,Unpaid,Snowy,13:29:00,14:09:00,0.66,1.5,2
2008,2023-11-20,Unpaid,Rainy,06:18:00,16:00:00,9.71,1.55,10
2008,2023-11-25,Unpaid,Cloudy,15:34:00,17:58:00,2.4,0.81,8
2008,2023-12-03,Unpaid,Sunny,15:22:00,14:10:00,0.0,0.21,5
2008,2023-12-06,Vacation,Snowy,00:27:00,23:56:00,23.49,0.27,10
2009,2023-01-10,Sick,Sunny,08:52:00,02:45:00,0.0,1.87,3
2009,2023-02-14,Personal,Rainy,17:52:00,08:16:00,0.0,0.73,9
2009,2023-02-19,Sick,Rainy,03:05:00,08:32:00,5.45,0.93,5
2009,2023-02-19,Personal,Cloudy,18:28:00,09:02:00,0.0,1.92,1
2009,2023-03-02,Unpaid,Cloudy,01:58:00,09:46:00,7.8,0.93,9
2009,2023-03-16,Vacation,Rainy,00:08:00,14:47:00,14.65,1.34,2
2009,2023-04-12,Personal,Cloudy,14:47:00,08:09:00,0.0,0.95,9
2009,2023-04-23,Unpaid,Snowy,04:00:00,01:28:00,0.0,0.51,10
2009,2023-05-07,Personal,Rainy,13:12:00,05:04:00,0.0,1.74,5
2009,2023-05-23,Sick,Rainy,06:32:00,07:00:00,0.48,1.01,1
