Employee ID,Training Program Name,Training Date,Training Duration,training_hours,Training Type,Training Outcome,Department,Job Title,Supervisor,Location,Trainer,Training Cost
2186,Power BI,2023-02-06,5,40,Internal,Failed,Operations,Representative,Clifford Dickerson,Loriberg,Damon Mitchell,292.17
1812,Development,2023-07-24,4,32,Internal,Failed,Marketing,Manager,Brandon Wallace,Rivasmouth,Kathryn Williams,850.42
1593,Advanced Presentation Skills,2022-10-20,5,40,Internal,Failed,Operations,Engineer,Leah Munoz,Port Cynthia,Ryan Johnson,475.55
1737,Data Visualization Training,2023-06-15,1,8,External,Passed,IT,Specialist,Robert Smith,Lake Angela,Susan King,984.58
2007,Communication Skills,2023-07-01,3,24,External,Incomplete,IT,Manager,Sarah Alvarez,Spencerbury,Ernest Edwards,850.63
1730,Conflict Management,2022-11-03,1,8,External,Failed,Sales,Analyst,Leah Fox,New Karina,Wendy Day,179.11
2507,Customer Service,2022-12-31,5,40,External,Completed,Sales,Manager,Brian Roberts,Port Robertburgh,Sarah Finley,143.66
1072,Power BI,2023-01-16,1,8,Internal,Passed,Operations,Specialist,Jerry Simon,North Veronica,April Stone,920.47
1131,Product Training,2022-11-05,4,32,External,Completed,Marketing,Engineer,Pamela Smith,Edwardsborough,Timothy Scott,547.89
2521,Power BI,2023-02-04,2,16,External,Completed,HR,Representative,Tanner Bernard,East Donald,Jill Elliott,848.79
1349,Communication Skills,2023-02-08,2,16,Internal,Passed,IT,Analyst,Jennifer King,Janethaven,Joseph Carpenter,592.48
2504,Technical Skills,2022-12-24,1,8,External,Incomplete,IT,Specialist,Christian Morris,Lake George,Victoria Adkins,293.79
2333,Project Management,2022-11-23,4,32,External,Passed,HR,Analyst,William Mckenzie,East Williammouth,Kevin Thompson,645.46
1208,Development,2023-01-15,2,16,Internal,Incomplete,IT,Analyst,Scott Khan,Zacharyton,Allison Jensen,482.48
1955,Email Management,2023-02-09,5,40,Internal,Completed,IT,Manager,Linda Long,South Rebecca,Peter Larson,236.91
2760,Communication Skills,2022-10-05,1,8,Internal,Failed,HR,Analyst,Kayla Manning,Gonzalezland,Justin Cooper,387.18
1139,Conflict Management,2022-10-20,5,40,Internal,Passed,HR,Specialist,Dawn Turner,Tonyaview,Zachary Hudson,523.1
2434,Customer Service,2023-09-09,3,24,Internal,Incomplete,Operations,Engineer,Jason Mcdonald,North Jay,Joseph Sullivan,458.79
2980,Power BI,2023-04-15,1,8,External,Completed,Marketing,Representative,Benjamin Smith,Mathisburgh,Melissa Stevens,659.91
2049,Power BI,2023-04-06,1,8,External,Passed,IT,Manager,Rachel Pratt,Lake Jenniferberg,David Johnson,509.63
2490,Project Management,2023-06-24,2,16,External,Completed,Sales,Specialist,Anthony Johnson,Destinyview,Wendy Kirby,774.97
2279,"Work,Health & Safety",2022-12-31,1,8,Internal,Failed,Finance,Analyst,Teresa Collins,Lake Pamela,Mandy Mcconnell,359.69
1659,Conflict Management,2023-03-12,5,40,External,Completed,Sales,Representative,Kayla Bryant,Stevensborough,Dakota Medina,731.79
2141,Customer Service,2023-03-24,5,40,External,Incomplete,Marketing,Analyst,Catherine Colon,Samanthaside,Denise Brown,781.96
1305,Customer Service,2023-03-17,1,8,Internal,Failed,Finance,Engineer,Ashley Holland,Chasebury,Steven Perez,747.28
1468,Product Training,2023-01-12,2,16,External,Passed,Marketing,Manager,Rebecca Duncan,South Julie,Lisa Garrett,227.65
1342,Product Training,2023-05-29,1,8,External,Incomplete,Marketing,Manager,Denise Oliver,East Rachel,Jenna Gardner,250.67
1967,Email Management,2023-06-28,4,32,Internal,Completed,Marketing,Engineer,Marvin Bryan Jr.,West Samanthahaven,Kelly Bell,593.51
2932,Power BI,2023-06-16,1,8,Internal,Failed,IT,Manager,Karina Murray,West Taylorburgh,Benjamin Bullock,574.44
2915,Customer Service,2022-10-25,5,40,Internal,Failed,Marketing,Analyst,Chelsea Dixon,South Gregoryport,Ronald Freeman,557.68
1510,Development,2023-05-02,1,8,External,Completed,HR,Engineer,Mitchell Copeland,Edwardmouth,Jennifer Silva,560.49
2784,Data Visualization Training,2023-07-13,4,32,External,Passed,HR,Engineer,Christina Price,Morrisport,James Hernandez,200.8
1557,Customer Service,2023-02-12,3,24,External,Completed,IT,Manager,Melinda Mcintosh,Lake Tiffanyton,Patrick Mercer,633.79
2625,Conflict Management,2023-09-01,1,8,Internal,Completed,HR,Representative,Kenneth Barber,Lake Jamesmouth,Rose Jackson,818.74
2999,Power BI,2022-10-07,3,24,External,Failed,HR,Engineer,Sophia Smith,Hartmanfurt,Beth Kirby,216.78
2436,Leadership Development,2023-02-06,3,24,External,Failed,IT,Specialist,Robert Graves,Coreyburgh,Becky Davis,463.78
1479,Development,2022-12-26,3,24,Internal,Completed,HR,Specialist,David Clark,Wadestad,Garrett Foster,385.86
1153,Product Training,2023-04-26,1,8,Internal,Incomplete,Marketing,Analyst,Nicholas Fuentes,Carlabury,Natalie Flynn,663.53
2366,Project Management,2023-07-23,1,8,External,Completed,HR,Representative,Hannah Pena,South Leah,Brittany Gonzalez,456.81
1504,Conflict Management,2023-07-10,4,32,Internal,Failed,IT,Analyst,Mary Perez,Codychester,Alexandra Hunt,399.67
2656,"Work,Health & Safety",2023-05-03,1,8,Internal,Passed,Sales,Manager,William Webb,East Nicholasport,Victoria Ramirez,753.83
2872,Product Training,2023-08-05,1,8,Internal,Passed,Operations,Engineer,Corey Ware,East William,Donna Olson,609.54
2362,"Work,Health & Safety",2023-04-03,1,8,Internal,Passed,Finance,Analyst,Jose Collier,Port Phyllis,Thomas Steele,229.58
1590,Project Management,2022-11-19,2,16,External,Passed,Sales,Manager,Maria Parks,North William,Daniel Serrano,154.46
1250,Customer Service,2023-01-06,3,24,Internal,Completed,Finance,Manager,Regina Macdonald,Samuelmouth,Jesse Smith,544.98
1107,Product Training,2022-10-01,1,8,External,Passed,Finance,Specialist,Mitchell Watkins,South Miguel,George Weeks,691.58
2043,Technical Skills,2023-05-14,2,16,Internal,Failed,HR,Representative,Michael Collins,Rachelborough,Katrina Campbell,842.57
1018,Communication Skills,2023-08-11,3,24,External,Incomplete,IT,Specialist,David Jones,Sherylview,Julie Dennis,868.02
1390,Product Training,2023-01-03,5,40,Internal,Failed,Sales,Representative,Erin Cervantes,Walshtown,Christopher Thompson,317.38
1114,Communication Skills,2023-08-04,3,24,External,Incomplete,Marketing,Engineer,Ian David,East Alanborough,Michael Barnes DVM,412.38
1604,Data Visualization Training,2022-10-29,2,16,External,Completed,IT,Specialist,Jennifer Gross,Judystad,Tracy Anderson,347.54
2891,Leadership Development,2023-06-06,2,16,External,Incomplete,HR,Representative,Sean Bell,East Lisa,Stephanie Dougherty,578.18
1804,Technical Skills,2023-01-06,5,40,External,Failed,Finance,Engineer,Brittney Bates,New Garymouth,Robert Patel,570.13
1510,Leadership Development,2023-05-22,4,32,Internal,Failed,HR,Engineer,Stacy Munoz,Malonehaven,Dylan West,390.42
2757,Project Management,2023-05-30,5,40,Internal,Failed,Finance,Engineer,Adrian Dunlap,Richardport,Kelly Garcia,689.79
2855,Product Training,2023-01-25,3,24,Internal,Passed,Operations,Representative,Danielle Bailey,South Denise,Jacob Smith,476.88
2186,Leadership Development,2023-01-18,2,16,External,Incomplete,Finance,Specialist,Matthew Robertson,Pamelastad,Jade Hoover,343.11
2509,Advanced Presentation Skills,2023-04-20,5,40,External,Failed,Operations,Analyst,Chad Walker,Shannonbury,Mallory Shaw,334.77
1831,Customer Service,2023-01-28,5,40,Internal,Failed,HR,Manager,Ryan Solis,Davidside,Alyssa Hall,256.4
1389,Power BI,2023-07-11,2,16,Internal,Failed,Operations,Specialist,Julie Duke,Moorechester,Teresa Medina,904.8
1607,Product Training,2023-01-18,1,8,External,Completed,Finance,Specialist,Allen Bryant,Smithmouth,Brandy Sanders,911.2
1013,Project Management,2022-10-02,4,32,Internal,Incomplete,Marketing,Manager,Daniel Kennedy,East Blake,Taylor Cook,237.36
2948,Data Visualization Training,2023-08-31,3,24,External,Passed,HR,Specialist,Michelle Hubbard,Brentshire,Joshua Boyd,622.55
